URL,category,Product Title,Price,Images,Video Source,Size,Moissanite_Facet_Pattern,Metal,Backing Style,images_Stone_size,image_metal,image_Finger_Ring_Size,Material,Cut,Clarity,Color,Additional Fatures
https://zenmoissanite.com/collections/earrings/products/champagne-cushion-studs,earrings,Zhavia - Cushion (Champagne),"Rs. 147,900.00","https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYG.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYG-2.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYG-3.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYG-4.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGCloseup.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGCloseup-2.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGCloseup-3.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGLifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGLifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGCloseup-4.jpg, https://zenmoissanite.com/cdn/shop/products/6.5mmChampagneBrilliantCushionZhaviaearrings_PushBack_-14kYGLifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/58336dd9b4fb44d6acc3fad94e34da22.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/58336dd9b4fb44d6acc3fad94e34da22/58336dd9b4fb44d6acc3fad94e34da22.HD-1080p-7.2Mbps-8644584.mp4?v=0,"['5.5mm', '6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']","Crushed Ice, Brilliant, Modern, Old Mine Cut (OMC)","14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",6.5mm per stud,14k yellow gold,,Gold of choice + Zen Moissanite,"Cushion (old mine cut, modern, brilliant or crushed ice)",VVS1/VVS2,Champagne,Features a hidden halo
https://zenmoissanite.com/collections/earrings/products/h-a-moissanite-studs,earrings,Audrey - Round,"Rs. 115,300.00","https://zenmoissanite.com/cdn/shop/files/6.75mmH_ARound4-prongAudreyearrings_PushBack_-14kRG_e8bec0eb-d83e-49df-bbf8-14b431fcad55.jpg, https://zenmoissanite.com/cdn/shop/files/6.75mmH_ARound4-prongAudreyearrings_PushBack_-14kRGCloseup-6.jpg",,"['6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']","Brilliant / Hearts & Arrows (H&A), Old European Cut (OEC)","14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",6.5mm in 14k rose gold,,,Gold of choice + Zen Moissanite,Round brilliant (H&A) or Old European Cut (OEC),VVS,Colorless (EF),
https://zenmoissanite.com/collections/earrings/products/demi-earrings-round-lab-emerald-1,earrings,Demi Earrings - Round Lab-Emerald,"Rs. 64,700.00","https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-1.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-2.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-3.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-4.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-5.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-3.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-4.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-7.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-21.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-9.jpg, https://zenmoissanite.com/cdn/shop/files/5mm_0.5cte_RoundLab-EmeraldDemiEarrings-14kYG-Lifestyles-18.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/ca1f7cb7115e49d5bfa125b2aedb3554.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/cc1ce55a0f53492ba5611831e9d5bb54.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/ca1f7cb7115e49d5bfa125b2aedb3554/ca1f7cb7115e49d5bfa125b2aedb3554.HD-1080p-7.2Mbps-23236270.mp4?v=0,"['5mm', '5.5mm', '6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",5mm,14k yellow gold,,Gold of choice + Lab-Emerald,Round,,,6mm (0.8cte per stone) = 1.6cte total weight earring pair6.5mm (1cte per stone) = 2cte total weight earring pair7mm (1.25cte per stone) = 2.5cte total weight earring pair7.5mm (1.5cte per stone) = 3cte total weight earring pair8mm (2cte per stone) = 4cte total weight earring pair8.5mm (2.5cte per stone) = 5cte total weight earring pair9mm (3cte per stone) = 6cte total weight earring pair
https://zenmoissanite.com/collections/earrings/products/demi-earrings-round,earrings,Demi Earrings - Round,"Rs. 77,100.00","https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_RoundBrilliant_H_A_DemiEarrings-14kYG.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_RoundBrilliant_H_A_DemiEarrings-14kYG2.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_RoundBrilliant_H_A_DemiEarrings-14kYG3.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_RoundBrilliant_H_A_DemiEarrings-14kYG4.jpg, https://zenmoissanite.com/cdn/shop/files/preview_images/5fb5dcc267144ee8aad23ea919ec24bc.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/5fb5dcc267144ee8aad23ea919ec24bc/5fb5dcc267144ee8aad23ea919ec24bc.HD-1080p-7.2Mbps-21421540.mp4?v=0,"['5mm', '5.5mm', '6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']","Brilliant / Hearts & Arrows (H&A), Old European Cut (OEC)","14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",6.5mm (1cte each earring) - 2cte total weight,14k yellow gold,,Gold of choice + Zen Moissanite,Round brilliant (H&A) or Old European Cut (OEC),VVS1-VVS2,Colorless (DEF),5mm (0.5cte per stone) = 1cte total weight earring pair5.5mm (0.65cte per stone) = 1.3cte total weight earring pair6mm (0.8cte per stone) = 1.6cte total weight earring pair6.5mm (1cte per stone) = 2cte total weight earring pair7mm (1.25cte per stone) = 2.5cte total weight earring pair7.5mm (1.5cte per stone) = 3cte total weight earring pair8mm (2cte per stone) = 4cte total weight earring pair8.5mm (2.5cte per stone) = 5cte total weight earring pair9mm (3cte per stone) = 6cte total weight earring pair
https://zenmoissanite.com/collections/earrings/products/gold-hoops,earrings,Gold Hoops,"Rs. 37,000.00","https://zenmoissanite.com/cdn/shop/products/Essentials-2mmGoldHoops_HingedClasp_-14kYG-16mmdiameter-2.jpg, https://zenmoissanite.com/cdn/shop/products/Essentials-2mmGoldHoops_HingedClasp_-14kYG-16mmdiameter-3.jpg, https://zenmoissanite.com/cdn/shop/products/Essentials-2mmGoldHoops_HingedClasp_-14kYG-16mmdiameter.jpg",,"['12mm', '15mm']",,,,15mm,14k yellow gold,,,,,,Earring details:- 2mm wide- solid gold- hinged claspAvailable in different sizes.Sold as a pair.
https://zenmoissanite.com/collections/earrings/products/bold-gold-hoops,earrings,Bold Gold Hoops,"Rs. 46,300.00","https://zenmoissanite.com/cdn/shop/files/Essentials-3.2mmBoldGoldHoops_HingedClasp_-14kYG-15mmdiameter-2.jpg, https://zenmoissanite.com/cdn/shop/files/Essentials-3.2mmBoldGoldHoops_HingedClasp_-14kYG-15mmdiameter-3.jpg, https://zenmoissanite.com/cdn/shop/files/Essentials-3.2mmBoldGoldHoops_HingedClasp_-14kYG-15mmdiameter.jpg",,"['12mm', '15mm']",,,,15mm version in 14k yellow gold,,,,,,,- 3.2mm wide- solid gold- hinged claspAvailable in different sizes.Sold as a pair.
https://zenmoissanite.com/collections/earrings/products/the-lucy-kids-huggies,earrings,Lucy - Huggies,"Rs. 41,900.00","https://zenmoissanite.com/cdn/shop/products/KidsHoopHuggies-14kRG.jpg, https://zenmoissanite.com/cdn/shop/products/KidsHoopHuggies-14kRG-2.jpg, https://zenmoissanite.com/cdn/shop/products/KidsHoopHuggies-14kRGLifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/KidsHoopHuggies-14kRGLifestyle.jpg",,,,,,14k rose gold,,,gold of choice + Zen Moissanite,round brilliant / hearts and arrow (H&A),VVS1/VVS2,Colorless (DEF),"Size: 2.5mm10mm opening, with 0.8mm clamp.Great for kids or upper ear piercings on adults."
https://zenmoissanite.com/collections/earrings/products/the-annie-kids-bezel-earrings,earrings,Annie - Bezel Earrings,"Rs. 41,900.00","https://zenmoissanite.com/cdn/shop/products/3mmRoundAnnieEarrings-14kRG.jpg, https://zenmoissanite.com/cdn/shop/products/3mmRoundAnnieEarrings-14kRG-2.jpg, https://zenmoissanite.com/cdn/shop/products/3mmRoundAnnieEarrings-14kRG-5.jpg",,,"Brilliant / Hearts & Arrows (H&A), Old European Cut (OEC)","14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",3mm round brilliant (H&A) Annie earrings in 14k rose gold,,,bold of choice + Zen Moissanite Cut: round brilliant / hearts and arrow (H&A),,,,Perfect for kids or second piercing on adults.Size: 3mm Clarity: VVS Color: Colorless (EF)Screw back earrings
https://zenmoissanite.com/collections/earrings/products/charm-cushion,earrings,Charm - Cushion,"Rs. 43,200.00",https://zenmoissanite.com/cdn/shop/files/5mm_0.75cte_BrilliantCushion-14kYG2.jpg,,,,,,14k yellow gold,,,Metal of choice + Moissanite from Zen Moissanite,Cushion brilliant,VVS1/VVS2,Colorless (DEF),Size: 5mm (0.75cte)Hoop diameter : 4mm
https://zenmoissanite.com/collections/earrings/products/marjorie-round-rose,earrings,Marjorie - Round Rose,"Rs. 98,600.00","https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYG_1d941093-557d-4da2-b792-07e135945a69.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYG-2_4b955738-e47d-48f3-af1b-04e4951852ad.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYG-3_5843359d-f911-48f1-a2b4-9ad6e1f576fa.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYG-4_2be26faf-06ca-4c68-ad55-9b8b385e6846.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYG-5_df5f49e9-6431-4514-bdbd-e036b1f8089a.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6mmRoseCutRoundMarjorieClusterEarrings_PushBack_-10kYGLifestyle-2_75f3155b-4587-486a-b247-5bbcb1a2ee2d.jpg, https://zenmoissanite.com/cdn/shop/products/7f6ec9f8c18941618f78f91df7fdbbdb.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/7f6ec9f8c18941618f78f91df7fdbbdb/7f6ec9f8c18941618f78f91df7fdbbdb.HD-1080p-7.2Mbps-8775833.mp4?v=0,,,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",14k yellow gold,,,Gold of choice + Zen Moissanite,Round rose cut (6mm) & round brilliants (2mm & 1.5mm),,,
https://zenmoissanite.com/collections/earrings/products/serena-pear-1,earrings,Serena - Pear,"Rs. 163,300.00","https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWGCloseup_49bba5ba-ad4d-4202-b91f-22f08bf47b03.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-2_1c839149-51ad-467c-b601-bed26590bdbc.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWGCloseup-4_7ce478b9-cc6e-4de3-88e3-e081aacd0eab.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG_16a68add-d02c-4567-8e3f-eb67eeeb4c4b.jpg",,"['Small', 'Medium', 'Large']",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,Pictured: medium size - 9x6mm pear brilliant in 14k white gold (shown with our Maisie pearl stud - sold separately).,,,Gold of choice + Pear Zen Moissanite,,VVS1/VVS2,Colorless (DEF),"New modular earring series, where the earrings themselves come in two pieces, allowing you to collect and switch the pairings to create entirely new earrings. Attach this SerenaCut : brilliant or crushed iceSize options below:small : 8x5mm (1cte) pear moissanitemedium : 9x6mm (1.5cte) pear moissanitelarge: 10x7mm (2.1cte) pear moissanite"
https://zenmoissanite.com/collections/earrings/products/maisie-pearl,earrings,Maisie - Pearl,"Rs. 15,500.00","https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-2_1.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-3_1.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG_2.jpg",,"['Small', 'Medium', 'Large']",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,5mm,14k white gold,,metal of choice + fresh water pearl,,,,Size options:Small: 4mm roundMedium: 5mmLarge: 6mm
https://zenmoissanite.com/collections/earrings/products/serena-pearl-pear,earrings,Serena & Maisie Set - Pearl & Pear,"Rs. 178,700.00","https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-5.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-6.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWGCloseup-4.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWGCloseup.jpg, https://zenmoissanite.com/cdn/shop/products/InStock_5mmFreshwaterPearl_9x6mmBrilliantPearSerenaearrings_PushBack_-14kWG-2.jpg",,"['Small', 'Medium', 'Large']",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,Medium size,9x6mm pear brilliant,14k white gold,Gold of choice + Pear Zen Moissanite  + Freshwater pearl,,VVS1/VVS2,Colorless (DEF),"New modular earring series, where the earrings themselves come in two pieces, allowing you to collect and switch the pairings to create entirely new earrings.1. Moissanite pearCut : brilliant or crushed ice2. Round freshwater pearlSize options below:small : 4mm fresh water pearl + 8x5mm (1cte) pear moissanitemedium : 5mm fresh water pearl + 9x6mm (1.5cte) pear moissanitelarge: 6mm fresh water pearl + 10x7mm (2.1cte) pear moissanite"
https://zenmoissanite.com/collections/earrings/products/the-audrey-cushion-studs,earrings,Audrey - Cushion,"Rs. 128,200.00","https://zenmoissanite.com/cdn/shop/files/Stock6.5mmOMCStuds-14kWG.jpg, https://zenmoissanite.com/cdn/shop/files/Stock6.5mmOMCStuds-14kWG-3.jpg, https://zenmoissanite.com/cdn/shop/files/Stock6.5mmOMCStuds-14kWG-4.jpg",,"['5.5mm', '6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']","Crushed Ice, Brilliant, Modern, Old Mine Cut (OMC)","14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",6.5mm old mine cut (OMC) studs in 14k white gold.,,,Metal of Choice + Moissanite from Zen Moissanite,Old Mine Cushion,VVS,Colorless (EF),
https://zenmoissanite.com/collections/earrings/products/asscher-studs,earrings,Audrey - Asscher,"Rs. 145,500.00","https://zenmoissanite.com/cdn/shop/files/InStock_6.5mmAsscherCutAudreyearrings_PushBack_-14kWG.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6.5mmAsscherCutAudreyearrings_PushBack_-14kWG-2.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6.5mmAsscherCutAudreyearrings_PushBack_-14kWG-4.jpg, https://zenmoissanite.com/cdn/shop/files/InStock_6.5mmAsscherCutAudreyearrings_PushBack_-14kWG-3.jpg",,"['5.5mm', '6mm', '6.5mm', '7mm', '7.5mm', '8mm', '8.5mm', '9mm']",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",", Screw, Push",6.5mm asscher,14k white gold,,Metal of Choice + Moissanite from Zen Moissanite,Asscher,VVS,Colorless (EF),Occasion: EngagementMade to orderShips worldwide from CanadaAvailable prong orientation: traditional (4 corners) or NSEW.
