URL,category,Product Title,Price,Images,Video Source,necklaces_width,necklace_Length,necklace_Metal,necklace_shape,necklace_Gemstone,necklace_Stone,necklace_Moissanite,images_Stone_size,image_metal,image_Finger_Ring_Size,Material,Cut,Clarity,Color,Additional Features
https://zenmoissanite.com/collections/necklaces/products/herringbone-chain,necklaces,Herringbone Chain,"Rs. 43,300.00","https://zenmoissanite.com/cdn/shop/files/HerringboneChain-7.jpg, https://zenmoissanite.com/cdn/shop/files/2.8mmHerringboneChain-16_-14kYG-1.jpg, https://zenmoissanite.com/cdn/shop/files/2.8mmHerringboneChain-16_-14kYG-2.jpg",,"2.8mm, 3.8mm, 4.6mm, 6mm","16"", 18""",,"2.8mm, 3.8mm, 4.6mm, 6mm","2.8mm, 3.8mm, 4.6mm, 6mm","2.8mm, 3.8mm, 4.6mm, 6mm",,14k yellow gold,2.8mm version,"16"" length",,,,,"Herringbone necklaces stack really well with other necklaces and creates a great base layer, or can be worn alone for an effortless look. It also produces a classic visual statement due to it's wider profile., 14k solid gold, Variety of widths; 2.8mm, 3.8mm, 4.6mm & 6mm, Length: 16"" & 18"", Lobster clasp"
https://zenmoissanite.com/collections/necklaces/products/ready-to-ship-charm-cushion-bezel-marquise,necklaces,Ready to Ship - Charm - Cushion & Bezel Marquise,,"https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-1.jpg, https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-3.jpg, https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-4.jpg",,,,,,,,,Material: Metal of choice + Moissanite from Zen Moissanite,Cut: Round brilliant,Size: 3mm (0.75cte),,,,,
https://zenmoissanite.com/collections/necklaces/products/charm-cushion-bezel-marquise,necklaces,Charm - Cushion & Bezel Marquise,"Rs. 47,000.00","https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-1.jpg, https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-3.jpg, https://zenmoissanite.com/cdn/shop/files/Cushion_MarquisePendant-4.jpg",,,,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,,,,14k yellow gold,Pictured with chain (sold separately).,,Metal of choice + Moissanite from Zen Moissanite,Round brilliant,VVS1/VVS2,Colorless (DEF),"Size: 3mm (0.75cte), Hoop diameter : 4mm"
https://zenmoissanite.com/collections/necklaces/products/bezel-necklace,necklaces,Bezel Necklace,"Rs. 68,000.00","https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_BezelNecklace-14kYG-16_2_Extension_04809402-0476-45c7-863d-df3ca923fd25.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_BezelNecklace-14kYG-16_2_Extension-1.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_BezelNecklace-14kYG-16_2_Extension-2.jpg, https://zenmoissanite.com/cdn/shop/files/6.5mm_1cte_BezelNecklace-14kYG-16_2_Extension-3.jpg",,"Round, Cushion, Oval, Emerald, Asscher, Heart, Radiant, Marquise, Pear, Princess",,,"Round, Cushion, Oval, Emerald, Asscher, Heart, Radiant, Marquise, Pear, Princess","Round, Cushion, Oval, Emerald, Asscher, Heart, Radiant, Marquise, Pear, Princess","Round, Cushion, Oval, Emerald, Asscher, Heart, Radiant, Marquise, Pear, Princess",,6.5mm round brilliant (H&A),14k yellow gold,,,,,,"Necklace details:, - 1ct Zen Moissanite (shape of choice), - Clarity: VVS1/VVS2, - Color: Colorless (DEF), - bezel set, - 10k or 14k gold of choice, - chain length = 40cm + 5cm extension (16"" + 2"" extension)"
https://zenmoissanite.com/collections/necklaces/products/pendant-trio-round,necklaces,Charm - Trio Round,"Rs. 39,600.00","https://zenmoissanite.com/cdn/shop/files/3mmH_ARoundTrioPendant-2.jpg, https://zenmoissanite.com/cdn/shop/files/RoundTrioPendant_ChainLifestyle-3-2.jpg, https://zenmoissanite.com/cdn/shop/files/RoundTrioPendant_ChainLifestyle-2.jpg",,,,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum",,,,,14k yellow gold,Pictured with chain (sold separately).,,Metal of choice + Moissanite from Zen Moissanite,Round brilliant,VVS1/VVS2,Colorless (DEF),"Size: 3mm (0.75cte), Hoop diameter : 4mm"
https://zenmoissanite.com/collections/necklaces/products/emerald-bezel-charm,necklaces,Charm - Emerald Bezel,"Rs. 24,800.00","https://zenmoissanite.com/cdn/shop/files/7x5mm_1.2cte_EmeraldBezelPendant-14kYG-3.jpg, https://zenmoissanite.com/cdn/shop/files/EmeraldPendant_Chain-3.jpg, https://zenmoissanite.com/cdn/shop/files/EmeraldPendant_Chain-2.jpg",,"Lab-Emerald, Lab-Sapphire (blue), Lab-Sapphire (pink), Lab-Sapphire (orange), Moissanite (colourless)",,"14k rose gold, 14k yellow gold, 14k white gold, 18k rose gold, 18k yellow gold, 18k white gold, platinum","Lab-Emerald, Lab-Sapphire (blue), Lab-Sapphire (pink), Lab-Sapphire (orange), Moissanite (colourless)","Lab-Emerald, Lab-Sapphire (blue), Lab-Sapphire (pink), Lab-Sapphire (orange), Moissanite (colourless)","Lab-Emerald, Lab-Sapphire (blue), Lab-Sapphire (pink), Lab-Sapphire (orange), Moissanite (colourless)",,14k yellow gold,Pictured with chain (sold separately).,,,Emerald cut,,,"Metal of choice, Size: 7x5mm (1cte), Hoop diameter : 4mm"
https://zenmoissanite.com/collections/necklaces/products/charm-cushion,necklaces,Charm - Cushion,"Rs. 43,300.00",https://zenmoissanite.com/cdn/shop/files/5mm_0.75cte_BrilliantCushion-14kYG2.jpg,,,,,,,,,14k yellow gold,,,Metal of choice + Moissanite from Zen Moissanite,Cushion brilliant,VVS1/VVS2,Colorless (DEF),"Size: 5mm (0.75cte), Hoop diameter : 4mm"
https://zenmoissanite.com/collections/necklaces/products/emerald-necklace-east-west,necklaces,Emerald Necklace (East West),"Rs. 106,900.00","https://zenmoissanite.com/cdn/shop/files/Stock_8x6mm_1.9cte_EastWestEmeraldParisNecklace_16_-18_length_-14kYG.jpg, https://zenmoissanite.com/cdn/shop/files/Stock_8x6mm_1.9cte_EastWestEmeraldParisNecklace_16_-18_length_-14kYGCloseup.jpg",,,,,,,,,14k yellow gold,,,,,,,"Necklace details:, - 8x6mm (1.9cte) emerald cut Zen Moissanite, - Clarity: VVS1/VVS2, - Color: Colorless (DEF), - set horizontally, - claw prongs, - 14k gold of choice, - chain length = 40cm + 5cm extention"
https://zenmoissanite.com/collections/necklaces/products/heart-pendant,necklaces,Paris - Heart Pendant,"Rs. 92,700.00","https://zenmoissanite.com/cdn/shop/products/9x8.25mmAntiqueHeartPendant-14kRG-3.jpg, https://zenmoissanite.com/cdn/shop/products/9x8.25mmAntiqueHeartPendant-14kRG-2.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-4.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle_1257119a-3aa0-4350-a23d-a65fb90921ec.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-5.jpg, https://zenmoissanite.com/cdn/shop/products/Cutcomparison_9.25x8.75mm_3.3cte_BrilliantHeart3-prongParisNecklace_16_-18_length_-14kYG_9x8.25mm_3cte_AntiqueHeart3-prongParisNecklace_16_length_-14kRG.jpg, https://zenmoissanite.com/cdn/shop/products/Cutcomparison_9.25x8.75mm_3.3cte_BrilliantHeart3-prongParisNecklace_16_-18_length_-14kYG_9x8.25mm_3cte_AntiqueHeart3-prongParisNecklace_16_length_-14kRG-2.jpg, https://zenmoissanite.com/cdn/shop/products/Cutcomparison_9.25x8.75mm_3.3cte_BrilliantHeart3-prongParisNecklace_16_-18_length_-14kYG_9x8.25mm_3cte_AntiqueHeart3-prongParisNecklace_16_length_-14kRG-4.jpg, https://zenmoissanite.com/cdn/shop/products/7016c8eadab64f1da49ce63787e129c3.thumbnail.0000000000_610x.jpg, https://zenmoissanite.com/cdn/shop/products/e4d2d7475d73455b930a714ca4ee59fe.thumbnail.0000000000_610x.jpg",https://zenmoissanite.com/cdn/shop/videos/c/vp/7016c8eadab64f1da49ce63787e129c3/7016c8eadab64f1da49ce63787e129c3.HD-1080p-7.2Mbps-12873919.mp4?v=0,"1cte, 2cte, 3cte, 4cte","16"", 18"", 20""",,"1cte, 2cte, 3cte, 4cte","1cte, 2cte, 3cte, 4cte","1cte, 2cte, 3cte, 4cte","Antique, Brilliant","Pictured: 3ct antique heart, 14k rose gold.",Pictured (last photos):,"* heart pendant: 3ct antique heart, 14k rose gold.",Metal of choice + Moissanite from Zen Moissanite,Heart (brilliant or antique),VVS1/VVS2,Colorless (DEF),
https://zenmoissanite.com/collections/necklaces/products/tennis-necklace-choker,necklaces,Tennis Necklace Choker,"Rs. 247,100.00","https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRG.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRG-2.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRG-3.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRG-4.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-2.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRGLifestyle.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-2_1.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRGLifestyle-3.jpg, https://zenmoissanite.com/cdn/shop/products/2.5mmRoundTennisNecklaceChoker-14kRGLifestyle_1.jpg, https://zenmoissanite.com/cdn/shop/products/Necklaces-9x8.25mmAntiqueHeartPendant-14kRG_2.5mmRoundTennisNecklaceChoker-14kRGLifestyle.jpg",,"2.5, 3, 3.5, 4","14, 16, 18",,"2.5, 3, 3.5, 4","2.5, 3, 3.5, 4","2.5, 3, 3.5, 4",,"2mm version in 14"" length (choker)",14k rose gold,Shown with a heart pendant (sold separately):,,,,,"This tennis necklace can easily be made into a choker for a modern twist to this all time classic., Please select the length wisely; both necklace (16"" & 18"") & choker (14"") options are in the drop down menu., Made with 14k solid gold of choice; white, yellow or rose., Moissanites are colourless (DEF range) and VVS1-VVS2 clarity."
